Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Diabetes_Friendly,Heart_Friendly,Kidney_Friendly,Liver_Friendly
Chicken Alfredo (1.5 cups),Meal/Pasta,680.0,35.0,45.0,38.0,4.0,5.0,980.0,120.0,Dinner,250.0,0,0,0,0
Breadstick (1 large),Grain,160.0,4.0,28.0,3.0,1.0,2.0,350.0,0.0,Dinner,0.0,1,0,0,1
Cobb Salad,Meal/Protein,510.0,30.0,12.0,38.0,7.0,6.0,800.0,210.0,Lunch,500.0,0,0,0,0
Blue Cheese Dressing (2 tbsp),Condiment,150.0,1.0,2.0,16.0,0.0,1.0,320.0,10.0,Lunch,0.0,1,0,0,0
Mandarin Orange (1 medium),Fruit,37.0,0.6,9.3,0.2,1.3,7.3,1.0,0.0,Snack,0.0,0,1,1,0
Cashews (1 oz roasted),Nut,163.0,4.3,9.2,13.1,0.9,1.4,140.0,0.0,Snack,0.0,1,0,1,0
Eggo Waffle (2 waffles),Grain/Processed,180.0,4.0,30.0,5.0,1.0,4.0,400.0,0.0,Breakfast,0.0,0,0,0,1
Diet Soda (1 can),Beverage,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,Lunch,355.0,1,1,1,1
Pulled Pork Sandwich,Meal/Meat,480.0,25.0,48.0,20.0,3.0,15.0,900.0,75.0,Lunch,250.0,0,0,0,0
Macadamia Nuts (1 oz),Nut,204.0,2.2,3.9,21.5,2.4,1.3,1.0,0.0,Snack,0.0,1,1,1,0
Crab Cakes (2 medium),Meal/Seafood,340.0,20.0,18.0,20.0,1.0,2.0,700.0,120.0,Dinner,250.0,1,0,0,0
Tartar Sauce (2 tbsp),Condiment,60.0,0.2,2.0,5.5,0.1,1.5,180.0,5.0,Dinner,0.0,1,0,1,1
Lemon Bar (1 square),Dessert,150.0,1.5,22.0,6.0,0.5,15.0,80.0,30.0,Snack,0.0,0,0,1,0
Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30.0,1.0,1.0,2.5,1.0,0.0,160.0,0.0,Breakfast,240.0,1,0,1,1
Rice Krispies (1.5 cups),Grain,160.0,3.0,37.0,0.5,0.5,4.0,290.0,0.0,Breakfast,0.0,0,0,0,1
Sugar (1 tsp for cereal),Condiment,16.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,Breakfast,0.0,1,1,1,1
Tuna (Canned 3oz in water),Protein/Fish,90.0,20.0,0.0,1.0,0.0,0.0,250.0,35.0,Lunch,0.0,1,0,0,1
Mayonnaise (1 tbsp),Condiment,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,Lunch,0.0,1,1,1,0
Pickle (1 spear dill),Vegetable,5.0,0.2,1.0,0.1,0.3,0.5,300.0,0.0,Lunch,0.0,1,0,0,1
Lobster Bisque (1 cup),Meal/Seafood,250.0,8.0,12.0,18.0,1.0,3.0,850.0,50.0,Lunch,250.0,1,0,0,0
Reuben Sandwich,Meal/Processed,650.0,28.0,35.0,40.0,5.0,6.0,1500.0,100.0,Lunch,500.0,0,0,0,0
Sauerkraut (1/4 cup side),Vegetable,7.0,0.3,1.5,0.0,1.0,0.6,234.0,0.0,Lunch,0.0,1,0,0,1
Mushroom (White 1 cup sliced),Vegetable,15.0,2.2,2.3,0.2,0.7,1.4,4.0,0.0,Dinner,0.0,1,1,1,1
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110.0,8.0,9.0,4.5,2.0,6.0,125.0,0.0,Breakfast,240.0,0,1,1,1
Chicken Tikka Masala (1.5 cups),Meal/Meat,480.0,30.0,20.0,30.0,5.0,8.0,900.0,95.0,Dinner,250.0,0,0,0,0
Naan Bread (1 piece),Grain,260.0,8.0,45.0,5.0,2.0,3.0,450.0,10.0,Dinner,0.0,0,0,0,1
Cucumber Salad (1/2 cup),Vegetable,40.0,1.0,5.0,2.0,1.0,4.0,200.0,0.0,Dinner,0.0,1,0,0,1
Vodka Soda (1 drink),Beverage,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Snack,180.0,1,1,1,1
Chocolate Croissant,Dessert,350.0,6.0,40.0,19.0,3.0,15.0,300.0,40.0,Breakfast,250.0,0,0,0,0
Sweet & Sour Chicken (1 cup),Meal/Processed,380.0,18.0,45.0,15.0,3.0,25.0,750.0,50.0,Dinner,0.0,0,0,0,0
Egg Drop Soup (1 cup),Meal/Vegetable,65.0,5.0,6.0,2.0,0.5,1.0,780.0,50.0,Dinner,0.0,1,0,0,1
String Cheese (1 stick),Dairy,80.0,6.0,1.0,6.0,0.0,0.0,210.0,20.0,Snack,0.0,1,0,0,1
Turkey Burger (1 patty),Protein/Meat,160.0,22.0,2.0,8.0,0.0,1.0,400.0,70.0,Lunch,250.0,1,0,0,0
Mustard (1 tbsp  yellow),Condiment,10.0,0.5,1.0,0.5,0.5,0.0,160.0,0.0,Lunch,0.0,1,0,1,1
Potato Salad (1/2 cup),Meal/Vegetable,180.0,2.0,19.0,11.0,2.0,3.0,500.0,10.0,Lunch,0.0,1,0,0,0
Cranberry Juice (1 cup),Beverage,130.0,0.0,33.0,0.0,0.0,30.0,10.0,0.0,Breakfast,240.0,0,1,1,0
Spinach (1 cup  raw),Vegetable,7.0,0.9,1.1,0.1,0.7,0.1,24.0,0.0,Lunch,0.0,1,1,1,1
Chicken Piccata (1 serving),Meal/Meat,350.0,30.0,10.0,20.0,1.0,2.0,600.0,90.0,Dinner,250.0,1,0,0,0
Angel Hair Pasta (1 cup),Grain,200.0,7.0,42.0,1.0,2.0,1.0,1.0,0.0,Dinner,0.0,0,1,1,1
Olive Oil (1 tbsp),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,0
Garlic (1 clove),Vegetable,4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,Dinner,0.0,1,1,1,1
Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,Snack,0.0,1,0,0,0
Provolone Cheese (1 slice),Dairy,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,Snack,0.0,1,0,0,0
Ginger Ale (1 can),Beverage,124.0,0.0,32.0,0.0,0.0,31.0,40.0,0.0,Snack,355.0,0,1,1,0
Shrimp Scampi (1 cup),Meal/Seafood,380.0,22.0,40.0,15.0,3.0,3.0,750.0,140.0,Dinner,0.0,0,0,0,0
Tiramisu (1 slice),Dessert,450.0,7.0,42.0,28.0,2.0,25.0,150.0,180.0,Snack,250.0,0,0,1,0
Cereal Bar (Fruit),Snack/Processed,140.0,2.0,30.0,3.0,1.0,15.0,110.0,0.0,Breakfast,250.0,0,1,1,0
Veal Parmesan (1 serving),Meal/Meat,550.0,40.0,30.0,30.0,4.0,7.0,1100.0,130.0,Dinner,250.0,0,0,0,0
Spaghetti (side),Grain,100.0,3.5,21.0,0.5,1.0,0.5,0.0,0.0,Dinner,0.0,1,1,1,1
Hot Chocolate (1 cup),Beverage,200.0,3.0,30.0,8.0,2.0,25.0,160.0,10.0,Snack,240.0,0,0,1,0
Coconut Shrimp (5 pcs),Meal/Seafood,320.0,10.0,25.0,20.0,3.0,8.0,600.0,80.0,Dinner,0.0,0,0,0,0
Sweet Chili Sauce (2 tbsp),Condiment,70.0,0.0,17.0,0.0,0.5,16.0,450.0,0.0,Dinner,0.0,0,0,0,0
White Wine (5 oz glass),Beverage,121.0,0.1,3.8,0.0,0.0,1.4,5.0,0.0,Dinner,0.0,1,1,1,1
Trail Mix (1/4 cup),Snack/Processed,190.0,5.0,20.0,12.0,3.0,14.0,50.0,0.0,Snack,250.0,0,1,1,0
Onion Rings (6 rings),Snack/Processed,280.0,4.0,30.0,16.0,3.0,4.0,500.0,0.0,Snack,0.0,0,0,0,0
Poached Egg (1 large),Protein,72.0,6.3,0.4,4.8,0.0,0.4,140.0,185.0,Breakfast,0.0,1,0,1,1
Canadian Bacon (2 slices),Protein/Meat,80.0,12.0,1.0,3.0,0.0,1.0,650.0,40.0,Breakfast,0.0,1,0,0,1
Eggs Benedict (1 serving),Meal/Protein,600.0,25.0,30.0,40.0,3.0,4.0,1100.0,450.0,Breakfast,250.0,0,0,0,0
Hollandaise Sauce (2 tbsp),Condiment,110.0,1.0,0.5,12.0,0.0,0.2,150.0,50.0,Breakfast,0.0,1,0,1,0
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160.0,5.0,6.0,14.0,2.0,2.0,350.0,30.0,Snack,0.0,1,0,0,0
Tortilla Chips (1 oz),Snack/Processed,140.0,2.0,19.0,7.0,2.0,0.5,120.0,0.0,Snack,0.0,1,1,1,0
Chicken Kebab (2 skewers),Meal/Meat,280.0,30.0,8.0,14.0,3.0,4.0,500.0,85.0,Dinner,250.0,1,0,0,0
Bell Peppers & Onions (sautéed),Vegetable,60.0,1.5,10.0,2.0,3.0,6.0,30.0,0.0,Dinner,0.0,0,1,1,1
Hummus Wrap (large),Meal/Vegetarian,450.0,15.0,60.0,18.0,12.0,5.0,800.0,0.0,Lunch,500.0,0,0,0,0
Kombucha (1 cup),Beverage,30.0,0.0,7.0,0.0,0.0,6.0,10.0,0.0,Snack,240.0,0,1,1,1
Beef Stroganoff (1.5 cups),Meal/Pasta,550.0,30.0,40.0,28.0,4.0,6.0,900.0,100.0,Dinner,0.0,0,0,0,0
Egg Noodles (1 cup cooked),Grain,220.0,8.0,40.0,3.0,2.0,2.0,20.0,50.0,Dinner,0.0,0,0,1,1
Cottage Cheese (1 cup low fat),Dairy,160.0,28.0,6.0,2.5,0.0,4.0,820.0,10.0,Lunch,250.0,1,0,0,1
Tomato (1 medium sliced),Vegetable,22.0,1.1,4.8,0.2,1.5,3.2,6.0,0.0,Lunch,0.0,1,1,1,1
Black Pepper (1 tsp),Condiment,6.0,0.2,1.5,0.1,0.6,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Chocolate Pudding (1/2 cup),Dessert,150.0,2.0,28.0,4.0,2.0,22.0,130.0,2.0,Snack,0.0,0,1,1,0
Mackerel (3oz cooked),Protein/Fish,175.0,16.0,0.0,12.0,0.0,0.0,75.0,65.0,Dinner,0.0,1,0,0,0
Collard Greens (1 cup cooked),Vegetable,60.0,5.0,10.0,1.0,7.0,1.0,40.0,0.0,Dinner,0.0,1,1,1,1
Ham (3oz deli sliced),Protein/Meat,110.0,16.0,2.0,4.0,0.0,1.5,950.0,45.0,Lunch,0.0,1,0,0,1
Swiss Cheese (1 slice),Dairy,106.0,7.6,1.0,8.0,0.0,0.4,54.0,26.0,Lunch,0.0,1,0,1,0
Rye Bread (1 slice),Grain,83.0,2.7,15.5,1.1,1.9,1.2,170.0,0.0,Lunch,0.0,1,0,1,1
Potato Leek Soup (1 cup),Meal/Vegetable,180.0,4.0,25.0,7.0,3.0,4.0,650.0,15.0,Lunch,250.0,1,0,0,0
Brie Cheese (1 oz),Dairy,95.0,6.0,0.1,7.9,0.0,0.1,178.0,28.0,Snack,0.0,1,0,1,0
Water Cracker (5 crackers),Grain/Processed,70.0,1.5,12.0,1.5,0.5,0.0,150.0,0.0,Snack,0.0,1,0,1,1
Grapefruit (1/2 medium),Fruit,52.0,1.1,13.2,0.2,2.0,8.5,0.0,0.0,Breakfast,0.0,0,1,1,0
Veggie Straws (1 oz),Snack/Processed,130.0,1.0,17.0,7.0,1.0,1.0,220.0,0.0,Snack,0.0,1,0,0,0
Fish Tacos (2 tacos),Meal/Fish,420.0,25.0,40.0,18.0,6.0,5.0,700.0,60.0,Dinner,500.0,0,0,0,0
Cabbage Slaw (side),Vegetable,60.0,1.0,8.0,3.0,2.0,5.0,120.0,5.0,Dinner,0.0,0,1,1,1
Lime (juice of 1),Condiment,11.0,0.2,3.7,0.0,0.4,0.7,1.0,0.0,Dinner,0.0,1,1,1,1
Beer (12 oz light),Beverage,103.0,0.9,5.8,0.0,0.0,0.3,10.0,0.0,Snack,355.0,1,1,1,1
Danish (Cheese 1 medium),Dessert,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,Breakfast,250.0,0,0,0,0
Kefir (Plain 1 cup),Beverage/Dairy,104.0,10.0,10.0,2.5,0.0,9.0,100.0,10.0,Breakfast,240.0,0,1,1,0
Gnocchi (1 cup),Meal/Pasta,210.0,4.5,45.0,1.5,3.0,2.0,480.0,0.0,Dinner,0.0,0,0,0,1
Pesto Sauce (1/4 cup),Condiment,260.0,5.0,4.0,26.0,2.0,1.0,550.0,5.0,Dinner,0.0,1,0,0,0
Pine Nuts (1 tbsp),Nut,95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,Dinner,0.0,1,1,1,0
Chai Latte (12 oz),Beverage,190.0,7.0,32.0,4.0,1.0,30.0,105.0,15.0,Snack,355.0,0,1,1,0
Manicotti (2 shells cheese),Meal/Pasta,380.0,20.0,35.0,18.0,4.0,7.0,650.0,60.0,Dinner,0.0,0,0,0,0
Italian Sausage (1 link),Protein/Meat,200.0,12.0,3.0,16.0,0.0,1.0,550.0,50.0,Dinner,0.0,1,0,0,0
Jicama (1 cup sticks),Vegetable,46.0,0.9,10.6,0.1,5.8,2.1,5.0,0.0,Snack,0.0,1,1,1,1
Chili Powder (1 tsp),Condiment,8.0,0.3,1.4,0.4,0.9,0.2,10.0,0.0,Snack,0.0,1,1,1,1
Ants on a Log (4 pcs),Snack,180.0,6.0,12.0,12.0,3.0,7.0,120.0,0.0,Snack,250.0,0,1,1,0
Split Pea Soup (1 cup),Meal/Legume,180.0,11.0,30.0,2.0,10.0,6.0,700.0,5.0,Lunch,250.0,0,0,0,1
Ham & Cheese Croissant,Meal/Processed,400.0,15.0,35.0,22.0,2.0,6.0,750.0,60.0,Breakfast,250.0,0,0,0,0
Espresso (double shot),Beverage,5.0,0.5,0.0,0.1,0.0,0.0,1.0,0.0,Breakfast,60.0,1,1,1,1
Ricotta Cheese (1/4 cup),Dairy,85.0,5.5,2.5,6.0,0.0,1.0,50.0,24.0,Dinner,0.0,1,0,1,1
Chicken & Rice Soup (1 can),Meal/Processed,130.0,7.0,18.0,3.0,2.0,2.0,850.0,15.0,Lunch,250.0,1,0,0,1
Salt (1/4 tsp),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,Dinner,0.0,1,0,0,1
Guava,Fruit,68.0,2.6,14.3,0.9,5.4,8.9,3.0,0.0,Snack,0.0,0,1,1,0
Club Sandwich,Meal/Processed,580.0,35.0,40.0,30.0,5.0,7.0,1300.0,95.0,Lunch,500.0,0,0,0,0
Pickle (1 whole dill),Vegetable,17.0,0.8,3.7,0.2,1.5,1.7,1200.0,0.0,Snack,0.0,1,0,0,1
Turkey Chili (1 cup),Meal/Meat,250.0,22.0,25.0,7.0,8.0,6.0,750.0,50.0,Dinner,250.0,0,0,0,0
Sour Cream (2 tbsp),Condiment/Dairy,60.0,0.8,1.3,5.8,0.0,0.8,25.0,12.0,Dinner,0.0,1,1,1,1
Shredded Cheese (Cheddar 1/4 cup),Dairy,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,Dinner,0.0,1,0,1,0
Matcha Latte (12 oz),Beverage,180.0,6.0,28.0,5.0,2.0,25.0,90.0,20.0,Snack,355.0,0,0,1,0
Chocolate Donut (1 medium),Dessert,300.0,4.0,35.0,17.0,2.0,18.0,230.0,20.0,Breakfast,0.0,0,0,0,0
Tuna Melt,Meal/Processed,450.0,25.0,32.0,25.0,3.0,4.0,900.0,50.0,Lunch,250.0,0,0,0,0
Apple Cider (1 cup),Beverage,117.0,0.1,29.0,0.3,0.5,27.0,10.0,0.0,Snack,240.0,0,1,1,0
Beef Burrito (large),Meal/Processed,650.0,30.0,70.0,28.0,10.0,5.0,1400.0,70.0,Dinner,500.0,0,0,0,0
Pico de Gallo (1/4 cup),Condiment,15.0,0.5,3.0,0.0,1.0,2.0,200.0,0.0,Dinner,0.0,1,0,0,1
Corn Tortilla (1 medium),Grain,52.0,1.4,11.2,0.7,1.5,0.2,4.0,0.0,Dinner,0.0,1,1,1,1
Mussels (3oz steamed),Protein/Seafood,146.0,20.0,6.0,4.0,0.0,0.0,310.0,48.0,Dinner,0.0,1,0,0,1
White Wine Sauce (1/4 cup),Condiment,80.0,1.0,4.0,6.0,0.5,2.0,300.0,5.0,Dinner,0.0,1,0,0,1
French Bread (2 slices),Grain,180.0,6.0,36.0,1.0,2.0,2.0,380.0,0.0,Dinner,0.0,0,0,0,1
Blackberries (1 cup),Fruit,62.0,2.0,13.8,0.7,7.6,4.9,1.0,0.0,Snack,0.0,1,1,1,1
Cheese Danish,Dessert,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,Breakfast,250.0,0,0,0,0
Chicken Salad Sandwich,Meal/Processed,420.0,20.0,35.0,20.0,3.0,5.0,850.0,60.0,Lunch,250.0,0,0,0,0
Soyrizo (2 oz),Protein/Vegetarian,140.0,10.0,6.0,9.0,3.0,2.0,450.0,0.0,Breakfast,0.0,1,0,0,0
Hash Browns (1 cup),Vegetable,330.0,3.0,38.0,19.0,3.0,1.0,550.0,0.0,Breakfast,0.0,0,0,0,0
Ketchup (1 packet),Condiment,10.0,0.1,2.5,0.0,0.1,2.0,90.0,0.0,Breakfast,0.0,1,1,1,1
Philly Cheesesteak (6 inch),Meal/Processed,500.0,25.0,40.0,28.0,3.0,5.0,1100.0,70.0,Lunch,500.0,0,0,0,0
Cheese Whiz (2 tbsp),Condiment/Processed,90.0,4.0,3.0,7.0,0.0,2.0,540.0,20.0,Lunch,0.0,1,0,0,0
Onions (sautéed 1/4 cup),Vegetable,30.0,0.5,5.0,1.0,1.0,3.0,5.0,0.0,Lunch,0.0,1,1,1,1
Raspberries (1 cup),Fruit,64.0,1.5,14.7,0.8,8.0,5.4,1.0,0.0,Snack,0.0,0,1,1,1
Cheesy Grits (1 cup),Meal/Grain,210.0,6.0,34.0,6.0,2.0,1.0,550.0,20.0,Breakfast,0.0,0,0,0,1
Collard Greens (with ham hock),Vegetable,180.0,10.0,15.0,9.0,8.0,3.0,600.0,30.0,Dinner,0.0,1,0,0,0
Fried Okra (1 cup),Vegetable,220.0,4.0,25.0,12.0,5.0,3.0,450.0,10.0,Dinner,0.0,1,0,0,0
Sweet Tea (16 oz),Beverage,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,Lunch,473.0,0,1,1,0
Gyro (1 sandwich),Meal/Meat,600.0,25.0,55.0,30.0,5.0,6.0,1200.0,80.0,Dinner,250.0,0,0,0,0
Pita Bread (White 1 large),Grain,220.0,7.0,45.0,2.0,2.0,2.0,440.0,0.0,Dinner,0.0,0,0,0,1
Tzatziki Sauce (2 tbsp),Condiment,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,Dinner,0.0,1,1,1,1
Baklava (1 piece),Dessert,280.0,3.0,30.0,18.0,2.0,20.0,80.0,10.0,Snack,0.0,0,1,1,0
Coconut (shredded 1/4 cup),Fruit,110.0,1.0,4.5,10.5,2.0,1.5,3.0,0.0,Snack,0.0,1,1,1,0
S'more (1 serving),Dessert,140.0,2.0,25.0,4.0,1.0,15.0,90.0,0.0,Snack,0.0,0,1,1,0
Graham Cracker (1 large rectangle),Grain/Processed,60.0,1.0,11.0,1.5,0.5,4.0,70.0,0.0,Snack,0.0,1,1,1,1
Marshmallow (1 large),Dessert,23.0,0.1,5.8,0.0,0.0,4.0,5.0,0.0,Snack,0.0,1,1,1,1
Chocolate (Hershey's bar 1 segment),Dessert,25.0,0.3,3.0,1.5,0.2,2.8,4.0,1.0,Snack,0.0,1,1,1,1
Chicken Parm Sandwich,Meal/Processed,650.0,40.0,55.0,30.0,6.0,9.0,1400.0,100.0,Lunch,500.0,0,0,0,0
Mozzarella (1 slice),Dairy,80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,Lunch,0.0,1,0,1,1
Bread Roll (hoagie),Grain,200.0,6.0,38.0,2.0,2.0,3.0,400.0,0.0,Lunch,0.0,0,0,0,1
Artichoke (1 medium steamed),Vegetable,60.0,4.2,13.4,0.2,6.9,1.2,112.0,0.0,Dinner,0.0,1,1,1,1
Mayonnaise (1 tbsp for dipping),Condiment,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,Dinner,0.0,1,1,1,0
Calamari (fried 3oz),Meal/Seafood,150.0,13.0,8.0,7.0,1.0,1.0,600.0,220.0,Dinner,0.0,1,0,0,0
Lemon Wedge (for calamari),Condiment,3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,Dinner,0.0,1,1,1,1
Root Beer (1 can),Beverage,150.0,0.0,40.0,0.0,0.0,40.0,55.0,0.0,Snack,355.0,0,1,1,0
Chicken McNuggets (6 pcs),Meal/Processed,270.0,15.0,16.0,16.0,1.0,0.0,500.0,40.0,Lunch,0.0,1,0,0,0
BBQ Sauce (2 tbsp),Condiment,60.0,0.5,15.0,0.0,0.5,12.0,350.0,0.0,Lunch,0.0,0,0,0,0
Honey (1 tbsp),Condiment,64.0,0.1,17.3,0.0,0.0,17.2,1.0,0.0,Breakfast,0.0,0,1,1,0
Tofu Scramble,Meal/Vegetarian,250.0,20.0,8.0,16.0,4.0,3.0,300.0,0.0,Breakfast,250.0,1,0,0,0
Turmeric (1 tsp),Condiment,9.0,0.3,1.9,0.1,0.7,0.1,1.0,0.0,Breakfast,0.0,1,1,1,1
Nutritional Yeast (1 tbsp),Condiment,20.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,Breakfast,0.0,1,1,1,1
Seitan (3oz),Protein/Vegetarian,90.0,18.0,4.0,1.0,1.0,1.0,300.0,0.0,Dinner,0.0,1,0,0,1
Vegetable Broth (1 cup),Beverage,15.0,1.0,3.0,0.0,1.0,2.0,550.0,0.0,Dinner,240.0,1,0,0,1
Mashed Cauliflower (1 cup),Vegetable,140.0,5.0,12.0,8.0,5.0,4.0,400.0,25.0,Dinner,0.0,1,0,0,0
Peanut Sauce (2 tbsp),Condiment,80.0,2.0,4.0,6.0,1.0,3.0,250.0,0.0,Dinner,0.0,1,0,0,1
Tempeh (3oz),Protein/Vegetarian,160.0,16.0,8.0,9.0,5.0,0.0,10.0,0.0,Lunch,0.0,1,1,0,0
Sauerkraut (1/2 cup),Vegetable,14.0,0.7,3.1,0.1,2.0,1.2,468.0,0.0,Lunch,0.0,1,0,0,1
Rye Crispbread (2 slices),Grain,70.0,2.0,14.0,0.5,3.0,0.0,120.0,0.0,Lunch,0.0,1,1,1,1
Capers (1 tbsp),Condiment,2.0,0.2,0.4,0.1,0.3,0.1,200.0,0.0,Dinner,0.0,1,0,0,1
Chicken Liver (2 oz cooked),Protein/Meat,91.0,13.6,0.6,3.6,0.0,0.0,50.0,320.0,Dinner,0.0,1,0,1,1
Onion (1/2 cup raw chopped),Vegetable,32.0,0.9,7.5,0.1,1.4,3.8,3.0,0.0,Dinner,0.0,1,1,1,1
Bok Choy (1 cup steamed),Vegetable,10.0,1.5,2.0,0.1,1.0,1.0,40.0,0.0,Dinner,0.0,1,1,1,1
Gummy Bears (10 pcs),Snack/Dessert,100.0,2.0,22.0,0.0,0.0,15.0,10.0,0.0,Snack,0.0,0,1,1,0
Whiskey (1.5 oz shot),Beverage,105.0,0.0,0.1,0.0,0.0,0.1,1.0,0.0,Snack,0.0,1,1,1,1
Dates (2 medium Medjool),Fruit,133.0,0.8,36.0,0.1,3.2,32.0,1.0,0.0,Snack,0.0,0,1,1,0
Tahini (1 tbsp),Condiment,89.0,2.6,3.2,8.0,1.4,0.1,17.0,0.0,Snack,0.0,1,1,1,0
Chickpeas (1/2 cup canned),Legume,135.0,7.0,22.0,2.0,6.0,3.0,250.0,0.0,Lunch,0.0,1,0,0,1
Lettuce (Romaine 2 cups),Vegetable,16.0,1.0,3.0,0.3,2.0,1.0,10.0,0.0,Lunch,0.0,1,1,1,1
Italian Dressing (2 tbsp),Condiment,70.0,0.0,3.0,7.0,0.0,2.0,300.0,0.0,Lunch,0.0,1,0,0,0
Croutons (1/4 cup),Grain,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,Lunch,0.0,1,0,1,1
Turkey Sausage (1 patty),Protein/Meat,70.0,9.0,1.0,4.0,0.0,0.5,280.0,35.0,Breakfast,0.0,1,0,0,1
Maple Syrup (1 tbsp),Condiment,52.0,0.0,13.5,0.0,0.0,12.0,1.0,0.0,Breakfast,0.0,0,1,1,0
Margarita (1 drink  4oz),Beverage,200.0,0.1,20.0,0.0,0.1,19.0,5.0,0.0,Snack,120.0,0,1,1,0
Quesadilla (Cheese 1 medium),Meal/Processed,400.0,18.0,35.0,22.0,3.0,2.0,700.0,50.0,Lunch,250.0,0,0,0,0
Sour Cream (1 tbsp),Condiment/Dairy,30.0,0.4,0.6,2.9,0.0,0.4,12.0,6.0,Lunch,0.0,1,1,1,1
Salsa (2 tbsp),Condiment,10.0,0.5,2.0,0.0,0.5,1.0,120.0,0.0,Lunch,0.0,1,1,1,1
Red Cabbage (1 cup raw),Vegetable,22.0,1.1,5.2,0.1,1.6,2.8,8.0,0.0,Dinner,0.0,1,1,1,1
Duck (3oz roasted),Protein/Meat,285.0,16.0,0.0,24.0,0.0,0.0,65.0,72.0,Dinner,0.0,1,0,0,0
Orange Sauce (1/4 cup for duck),Condiment,90.0,0.5,22.0,0.0,0.5,20.0,200.0,0.0,Dinner,0.0,0,0,0,0
Wild Rice (1 cup cooked),Grain,166.0,6.5,35.0,0.6,3.0,1.2,5.0,0.0,Dinner,0.0,0,1,1,1
Cupcake (Vanilla 1 medium),Dessert,240.0,2.0,35.0,11.0,1.0,25.0,200.0,30.0,Snack,0.0,0,0,0,0
Frosting (Vanilla 2 tbsp),Condiment,140.0,0.0,22.0,6.0,0.0,22.0,65.0,0.0,Snack,0.0,0,1,1,0
Hot Sauce (1 tsp Tabasco),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,Breakfast,0.0,1,1,1,1
Bison Burger (1 patty),Protein/Meat,150.0,22.0,0.0,7.0,0.0,0.0,65.0,70.0,Lunch,250.0,1,0,0,0
Pretzel Bun (1 medium),Grain,230.0,8.0,45.0,2.0,2.0,4.0,550.0,0.0,Lunch,0.0,0,0,0,1
Spicy Mustard (1 tbsp),Condiment,10.0,0.5,1.0,0.5,0.5,0.0,120.0,0.0,Lunch,0.0,1,1,1,1
Pasta Salad (1 cup),Meal/Pasta,280.0,8.0,30.0,14.0,4.0,5.0,450.0,10.0,Lunch,0.0,0,0,0,0
Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,Lunch,0.0,1,0,0,0
Pepperoncini (2 peppers),Vegetable,10.0,0.5,2.0,0.0,1.0,1.0,350.0,0.0,Lunch,0.0,1,0,0,1
Coconut Milk (1/4 cup canned),Condiment,111.0,1.1,2.9,11.6,0.5,1.5,8.0,0.0,Dinner,0.0,1,1,1,0
Green Curry Paste (1 tbsp),Condiment,30.0,0.5,2.0,2.5,1.0,1.0,400.0,0.0,Dinner,0.0,1,0,0,1
Chicken Thigh (1 roasted),Protein/Meat,210.0,24.0,0.0,13.0,0.0,0.0,90.0,120.0,Dinner,0.0,1,0,0,0
Jasmine Rice (1 cup cooked),Grain,205.0,4.3,45.0,0.4,0.6,0.0,2.0,0.0,Dinner,0.0,0,1,1,1
Thai Iced Tea (1 glass),Beverage,250.0,3.0,35.0,12.0,0.0,33.0,50.0,35.0,Snack,300.0,0,0,1,0
Papaya (1 cup cubes),Fruit,62.0,0.6,15.7,0.4,2.5,11.0,12.0,0.0,Snack,0.0,0,1,1,0
Lime Juice (1 tbsp),Condiment,4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,Snack,0.0,1,1,1,1
